1.289, 0.956, -53.710, 19.060, 6.476, 24.022, 0.810, 2,
1.990, 0.879, 3.987, 15.385, 52.799, 21.575, 0.137, 1,
9.467, 1.156, -8.706, 10.701, 13.743, 26.154, 0.447, 1,
0.565, 0.581, -77.204, 6.550, 2.228, 24.597, 0.660, 1,
0.134, 0.022, 32.550, 17.042, 55.535, 25.878, 0.240, 0,
1.723, 0.006, -43.136, 10.537, 6.068, 21.534, 0.122, 3,
3.364, -0.237, 10.900, 33.793, 80.920, 30.493, 0.979, 2,
4.335, -0.417, 15.779, 6.085, 2.312, 9.266, 0.330, 1,
9.731, -1.374, 4.882, 3.190, 1.408, 32.643, 0.039, 0,
0.555, -1.493, 2.521, 4.085, 16.324, 21.870, 0.244, 3,
1.461, -0.545, 13.249, 5.461, 13.230, 17.987, 0.230, 5,
3.631, 1.571, 1.788, 3.782, 13.495, 32.433, 0.888, 4,
0.011, -0.702, 2.002, 10.438, 3.658, 30.004, 0.892, 1,
1.411, 0.601, 12.198, 3.111, 37.474, 21.346, 0.403, 1,
46.125, -1.448, -21.835, 20.913, 28.956, 29.910, 0.245, 2,
9.478, 0.665, -6.223, 26.194, 38.040, 25.120, 0.160, 4,
0.604, 1.670, 8.392, 4.469, 85.127, 21.874, 0.726, 4,
5.857, 0.436, 9.014, 8.683, 18.805, 19.657, 0.273, 1,
0.004, 0.534, -7.018, 25.373, 37.348, 26.013, 0.880, 0,
0.537, -0.933, -32.196, 7.828, 100.156, 20.601, 0.858, 0,
0.088, -0.815, -1.944, 4.987, 7.009, 18.647, 0.239, 5,
1.377, 0.895, -6.957, 34.537, 23.458, 9.142, 0.793, 5,
1.857, 0.520, 36.597, 5.576, 34.007, 21.431, 0.379, 4,
0.590, 1.556, -16.601, 10.279, 85.731, 20.163, 0.787, 0,
0.778, 0.896, 9.041, 2.977, 116.444, 17.290, 0.622, 0,
0.090, -0.852, -0.282, 6.990, 69.776, 17.556, 0.188, 1,
0.448, 0.289, -12.254, 9.862, 6.950, 24.746, 0.629, 3,
2.603, -1.584, -10.503, 10.281, 57.864, 22.194, 0.837, 3,
6.825, 0.330, 37.436, 9.435, 64.921, 21.300, 0.570, 2,
17.569, 0.226, 16.483, 6.921, 44.483, 24.836, 0.681, 4,
1.208, -1.016, 38.627, 9.580, 23.522, 21.177, 0.513, 2,
0.087, -1.791, 14.823, 2.160, 35.926, 32.381, 0.408, 1,
4.620, -0.705, 39.914, 15.541, 200.260, 21.088, 0.691, 1,
1.085, -2.289, 0.987, 48.495, 74.864, 22.937, 0.180, 1,
0.503, -0.521, 9.600, 7.373, 63.879, 17.802, 0.073, 2,
2.529, 1.360, 0.572, 10.753, 3.432, 22.064, 0.840, 1,
0.040, -1.638, -1.674, 21.573, 52.721, 22.741, 0.948, 2,
4.412, -0.101, -0.273, 2.634, 53.170, 15.335, 0.417, 2,
10.701, 0.073, 17.492, 5.534, 97.491, 24.893, 0.698, 0,
0.301, 0.016, -34.869, 6.158, 17.496, 16.521, 0.485, 2,
2.541, 0.837, 38.834, 4.141, 181.148, 27.490, 0.060, 3,
0.103, -1.188, -47.819, 15.003, 149.377, 33.824, 0.845, 2,
2.355, -0.727, 11.604, 5.897, 8.194, 23.407, 0.296, 0,
1.661, 1.056, 23.502, 24.866, 12.121, 29.434, 0.458, 2,
0.805, 0.681, -29.788, 3.507, 5.069, 18.860, 0.373, 1,
0.401, -0.223, -14.764, 6.571, 23.821, 22.357, 0.007, 2,
5.849, 0.026, 35.348, 7.076, 64.351, 20.271, 0.323, 0,
0.947, -0.428, 24.472, 4.801, 64.353, 21.986, 0.366, 0,
9.639, 0.908, 22.876, 18.078, 179.105, 25.814, 0.729, 4,
20.498, 1.079, 9.958, 55.602, 34.445, 16.635, 0.887, 1,
68.996, -0.736, -47.496, 22.871, 95.512, 10.169, 0.953, 1
