0.2900, 5.9, 1.2, 0, -26, -21, -25, -20,
0.2890, 6.0, 0.7, 0, -25, -26, -20, -16,
0.2940, 5.6, 1.7, 0, -20, -25, -16, -12,
0.3000, 3.4, 2.2, 0, -16, -20, -12, -11,
0.2960, 3.8, 1.6, 0, -12, -16, -11, -7,
0.2950, 4.2, 1.6, 0, -11, -12, -7, -4,
0.2980, 4.5, 2.2, 0, -7, -11, -4, -1,
0.2940, 5.0, 3.6, 0, -4, -7, -1, 1,
0.2950, 5.2, 3.9, 0, -1, -4, 1, 0,
0.2960, 5.8, 4.0, 0, 1, -1, 0, 0,
0.2930, 5.7, 4.3, 0, 0, 1, 0, 2,
0.2960, 6.7, 4.9, 0, 0, 0, 2, 3,
0.3040, 7.6, 4.8, 0, 2, 0, 3, 4,
0.3040, 7.4, 1.7, 0, 3, 2, 4, 10,
0.3180, 9.9, 6.0, 0, 4, 3, 10, 7,
0.3370, 11.4, 3.2, 0, 10, 4, 7, 5,
0.3390, 10.3, 3.8, 0, 7, 10, 5, 10,
0.3450, 8.1, -1.2, 0.4140, 5, 7, 10, 12,
0.3680, 8.5, 0.1, 0, 10, 5, 12, 20,
0.3950, 11.3, -1.3, 0.5135, 12, 10, 20, 10,
0.4310, 15.9, 3.2, 0, 20, 12, 10, 6,
0.4340, 13.5, -2.8, 1.2152, 10, 20, 6, -10,
0.4410, 10.9, -5.9, 2.6019, 6, 10, -10, -22,
0.4350, 9.9, -6.4, 2.7840, -10, 6, -22, -38,
0.4360, 10.3, -7.9, 3.4444, -22, -10, -38, -61,
0.4440, 9.7, -8.5, 3.7740, -38, -22, -61, -74,
0.4460, 9.0, -6.9, 3.0774, -61, -38, -74, -73,
0.4410, 7.4, -6.4, 2.8224, -74, -61, -73, -82,
0.4370, 7.9, -6.5, 2.8405, -73, -74, -82, -72,
0.4390, 6.8, -3.3, 1.4487, -82, -73, -72, -69,
0.4530, 11.7, -1.3, 0.5889, -72, -82, -69, -69,
0.4680, 20.4, 17.4, 0, -69, -72, -69, -54,
0.4730, 18.8, 16.6, 0, -69, -69, -54, -49,
0.4660, 21.9, 19.2, 0, -54, -69, -49, -44,
0.4610, 22.3, 19.5, 0, -49, -54, -44, -42,
0.4660, 22.5, 19.9, 0, -44, -49, -42, -29,
0.4700, 21.7, 19.8, 0, -42, -44, -29, -29,
0.4630, 20.9, 20.1, 0, -29, -42, -29, -14,
0.4640, 20.1, 19.7, 0, -29, -29, -14, -15,
0.4440, 18.2, 17.8, 0, -14, -29, -15, -19,
0.4430, 14.5, 12.4, 0, -15, -14, -19, -6,
0.4600, 14.3, 13.2, 0, -19, -15, -6, -11,
0.4630, 12.9, 11.0, 0, -6, -19, -11, -7,
0.4740, 17.2, 16.2, 0, -11, -6, -7, 5,
0.4960, 8.4, 1.3, 0, -7, -11, 5, -12,
0.5310, 9.0, -0.9, 0.4779, 5, -7, -12, -31,
0.5470, 4.6, -0.5, 0.2735, -12, 5, -31, -33,
0.5350, 4.7, -1.1, 0.5885, -31, -12, -33, -37
